,0.0002,0.0004,0.0008,0.0012,0.0016,0.002,0.004,0.006,0.008,0.012,0.016,0.02
M1,0.1171798569617145,0.07028020988078473,0.09269361327836342,0.11906028711362762,0.09013754830416904,0.12116785878672164,0.07188952015905466,0.07421538567566556,0.07176260455406175,0.08979405038254816,0.10263718846640897,0.08833817984900932
M2,0.12996519908384113,0.13369785620963026,0.12066436971556285,0.11740126307747425,0.13207225793374722,0.10238717914179057,0.12067106331101009,0.11830551352152402,0.10518222569727281,0.12029074337593845,0.06895228662890042,0.12873636608863015
Mrem,0.1825205048761684,0.1343627051445461,0.16512462416193516,0.15810946014115726,0.17491079832975898,0.16115922293591586,0.19119717054381546,0.17384672780212937,0.1597000154673023,0.17395144067825785,0.1681286370250805,0.17874715672165434
Mtot,0.007608053894442236,0.018303978624544408,0.018286644143035283,0.008250208812161321,0.004577850665754885,0.02168059511152213,0.0028569473653266703,0.005838260892117334,0.0,0.004522811758403882,0.0,0.015023152238971103
S1,0.08830654064916571,0.13105959914859816,0.10941264018304818,0.05916825726493627,0.039813778679784646,0.06369336534130098,0.10860742311704998,0.1036969541629718,0.0658655385700858,0.03481800669570189,0.02672968945828869,0.09679422720468707
S2,0.025600083235533574,0.0156849203251721,0.011527622718204834,0.013882795249213537,0.02904259089733887,0.013932775572964774,0.023879287212418453,0.02857170673683217,0.016053742590860207,0.027539436247829466,0.03168866943992921,0.04057407474455083
Srem,0.02893067604740759,0.01990217286356373,0.024228099042922023,0.04071802367343158,0.033441948188796415,0.0206646540203961,0.03047929815207345,0.02849191085645428,0.017123930754241658,0.0366596077323956,0.02458396278781446,0.024437549680949754
Z-No correlation,0.0002,0.0004,0.0008,0.0012,0.0016,0.002,0.004,0.006,0.008,0.012,0.016,0.02
esca_v,0.15622882770788868,0.18330557806236075,0.17588941107096212,0.18059117748689849,0.16801994786020788,0.17157340710264143,0.18510113012420176,0.17690858026427975,0.17158780980534605,0.15718484895653592,0.21328579522155086,0.18393208751145754
t_elapsed,0.1937960979194192,0.22437539305650375,0.21402501020258624,0.23618850714692707,0.2497513450698824,0.24081322321491683,0.20343731042813112,0.22040368374817357,0.22643977226815257,0.26750599483466975,0.2276776737917661,0.16729581419397116
t_pair,0.06986415962441898,0.06902758668429602,0.06814796548337992,0.06663002003417258,0.07823193407055963,0.08292771877182972,0.0618808495869184,0.06972127633985216,0.0753752693835859,0.08773305933771895,0.045407006271169885,0.0761213917661187
